Strategy,Year,Age,Real_Portfolio_Mean,Real_Portfolio_Median,Real_Portfolio_10th,Real_Portfolio_90th,Real_Withdrawal_Mean,Real_Withdrawal_Median,Survival_Rate
Trinity_4pct,0,70,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,1.0
Trinity_4pct,1,71,976059.2608168562,973694.4637646477,798770.383276125,1169448.7989406518,40000.0,40000.0,1.0
Trinity_4pct,2,72,927405.019136766,913609.3719918905,677181.6946088182,1195167.344531289,40000.0,40000.0,1.0
Trinity_4pct,3,73,877322.6794944621,851878.3865459913,589793.4208879849,1198793.8631533457,40000.0,40000.0,1.0
Trinity_4pct,4,74,823905.4417021805,783448.8155527597,500226.8279964888,1213322.4185376875,40000.0,40000.0,1.0
Trinity_4pct,5,75,774590.0802470851,721528.2469863109,431844.52851322404,1204253.7307313627,40000.0,40000.0,1.0
Trinity_4pct,6,76,728058.4568464987,674493.3724102388,363482.83572788537,1171098.5623385885,40000.0,40000.0,1.0
Trinity_4pct,7,77,682574.454276673,614331.8197060913,307466.1724972758,1143411.8838614014,40000.0,40000.0,1.0
Trinity_4pct,8,78,631403.9385075223,559139.0053755441,239867.03771019966,1101220.8470473979,40000.0,40000.0,1.0
Trinity_4pct,9,79,582137.5165992193,509524.0734960844,188824.8343435994,1050869.470246292,40000.0,40000.0,0.996
Trinity_4pct,10,80,534960.3790485762,459963.6367080173,137737.03683404595,1022017.615799004,39840.0,40000.0,0.991
Trinity_4pct,11,81,485634.84280615265,408697.41330399865,94969.09028123402,997802.3426750274,39640.0,40000.0,0.979
Trinity_4pct,12,82,438117.16728707624,352032.22972415935,51414.323056670364,927166.2397399659,39200.0,40000.0,0.952
Trinity_4pct,13,83,395442.0073014271,299958.3131674991,7271.020289354581,883675.4991719871,38160.0,40000.0,0.906
Trinity_4pct,14,84,353946.0743455304,252574.74784737488,0.0,834559.7923426004,36360.0,40000.0,0.842
Trinity_4pct,15,85,319441.67514256167,209891.5765836581,0.0,815233.3099870541,33720.0,40000.0,0.781
Trinity_4pct,16,86,284854.61247426714,163321.14014902926,0.0,752567.8106843537,31280.0,40000.0,0.725
Trinity_4pct,17,87,252467.1509018203,109226.35634730713,0.0,712209.684132955,29080.0,40000.0,0.672
Trinity_4pct,18,88,227775.87492091377,71788.956956989,0.0,671898.1994583472,26920.0,40000.0,0.605
Trinity_4pct,19,89,205959.39582712646,25742.224132437277,0.0,626601.4846936809,24280.0,40000.0,0.536
Trinity_4pct,20,90,183790.69668238744,0.0,0.0,578838.441945143,21560.0,40000.0,0.478
Trinity_4pct,21,91,162054.10500190302,0.0,0.0,514275.30497393775,19120.0,0.0,0.42
Trinity_4pct,22,92,144621.6366062265,0.0,0.0,483357.6917128377,16880.0,0.0,0.37
Trinity_4pct,23,93,130771.73038494757,0.0,0.0,412179.92442359094,14880.0,0.0,0.326
Trinity_4pct,24,94,115598.12779516667,0.0,0.0,384500.6541078196,13080.0,0.0,0.287
Trinity_4pct,25,95,103854.04731485552,0.0,0.0,336305.5398113816,11480.0,0.0,0.247
Trinity_4pct,26,96,94635.89447333277,0.0,0.0,279018.32063969085,9920.0,0.0,0.219
Trinity_4pct,27,97,83736.2243566325,0.0,0.0,253656.05330933147,8760.0,0.0,0.2
Trinity_4pct,28,98,76522.92520500139,0.0,0.0,197308.14701999878,8080.0,0.0,0.171
Trinity_4pct,29,99,68471.66393537335,0.0,0.0,147861.24674238122,6880.0,0.0,0.154
QOL_Standard,0,70,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,1.0
QOL_Standard,1,71,962059.2608168562,959694.4637646477,784770.383276125,1155448.7989406518,53999.99999999999,53999.99999999999,1.0
QOL_Standard,2,72,899526.8344921308,885238.7738553861,652620.3598445428,1164422.4613965496,54000.0,53999.99999999999,1.0
QOL_Standard,3,73,835737.1051087859,812143.9591991655,552836.8911455537,1152849.7133251692,54000.0,53999.99999999999,1.0
QOL_Standard,4,74,769037.0016697429,729649.79769565,455598.55856672005,1148578.7427243262,54000.0,53999.99999999999,1.0
QOL_Standard,5,75,706311.912486043,651683.941642969,376079.30515159783,1124096.886064808,54000.0,53999.99999999999,1.0
QOL_Standard,6,76,646489.2071895468,592717.6128026126,297042.42647918774,1079055.7200424906,54000.0,53999.99999999999,1.0
QOL_Standard,7,77,587724.7774172866,522511.0914036302,235109.74778689703,1040160.6443793785,54000.0,53999.99999999999,0.999
QOL_Standard,8,78,524444.9028444026,453548.8378086314,156747.13316710907,966160.1066413065,53946.0,53999.99999999999,0.992
QOL_Standard,9,79,463389.2304724064,386151.1782262352,93789.367688816,897358.9006153652,53568.0,53999.99999999999,0.976
QOL_Standard,10,80,405364.01546091045,333939.5123047092,35284.746368666696,853052.7088085829,52758.0,53999.99999999999,0.942
QOL_Standard,11,81,356504.847176051,281307.2504309665,0.0,821109.1604494097,42435.0,45000.0,0.886
QOL_Standard,12,82,311954.97701446794,220556.34077365126,0.0,752853.0382619074,39915.0,45000.0,0.812
QOL_Standard,13,83,273036.1686643807,170308.6703026381,0.0,692463.8875455478,36585.0,45000.0,0.74
QOL_Standard,14,84,236751.26952156046,117304.60897203581,0.0,652845.3529012871,33390.0,45000.0,0.673
QOL_Standard,15,85,206828.98566073194,76119.44380013506,0.0,602693.3719906557,30465.0,45000.0,0.601
QOL_Standard,16,86,178189.05868059534,29490.48146803254,0.0,542379.7588546365,27135.0,45000.0,0.54
QOL_Standard,17,87,152570.10355738515,0.0,0.0,495580.8604583776,24390.0,44999.99999999999,0.466
QOL_Standard,18,88,134282.9728381378,0.0,0.0,459936.9480106281,20970.0,0.0,0.39
QOL_Standard,19,89,118796.00510344036,0.0,0.0,405680.455672225,17595.0,0.0,0.341
QOL_Standard,20,90,103650.67318967787,0.0,0.0,347024.51876889163,15435.0,0.0,0.287
QOL_Standard,21,91,92117.56942124048,0.0,0.0,288647.75594569766,10045.0,0.0,0.259
QOL_Standard,22,92,82674.72409876007,0.0,0.0,266365.23727168085,9065.0,0.0,0.228
QOL_Standard,23,93,75676.67909742556,0.0,0.0,226178.20762608995,8050.0,0.0,0.196
QOL_Standard,24,94,67370.60972210228,0.0,0.0,161548.4210270652,6930.0,0.0,0.179
QOL_Standard,25,95,61131.70230525105,0.0,0.0,139093.31294800254,6300.0,0.0,0.158
QOL_Standard,26,96,56062.401171181154,0.0,0.0,103092.18939783591,5530.0,0.0,0.14
QOL_Standard,27,97,49504.465980132445,0.0,0.0,74109.4621483092,4935.0,0.0,0.122
QOL_Standard,28,98,45872.56840797052,0.0,0.0,37215.65914083386,4305.0,0.0,0.109
QOL_Standard,29,99,41028.156787221116,0.0,0.0,426.7850072857889,3815.0,0.0,0.1
QOL_Enhanced,0,70,1000000.0,1000000.0,1000000.0,1000000.0,0.0,0.0,1.0
QOL_Enhanced,1,71,946059.2608168562,943694.4637646477,768770.383276125,1139448.7989406518,70000.00000000001,70000.00000000001,1.0
QOL_Enhanced,2,72,867666.0520411192,853611.7302212093,621523.1349381667,1130565.0595265715,70000.0,70000.00000000001,1.0
QOL_Enhanced,3,73,788210.7343822984,766225.5759223066,510948.8452616129,1097449.18341969,70000.0,70000.00000000001,1.0
QOL_Enhanced,4,74,706330.2130612426,670289.6367005995,398425.8462496148,1073422.6008461525,70000.0,70000.00000000001,1.0
QOL_Enhanced,5,75,628279.7207591377,572655.9376606061,311979.48464463674,1030678.9685634162,70000.0,70000.00000000001,1.0
QOL_Enhanced,6,76,553319.9631668875,499514.808211887,216680.4811548109,973201.4961085333,70000.0,70000.00000000001,0.998
QOL_Enhanced,7,77,479825.6043017351,417287.31961813057,143795.71503154412,910547.9372931685,69860.0,70000.00000000001,0.984
QOL_Enhanced,8,78,404058.919578595,336899.5435561798,59267.5194485765,815253.650625842,68950.0,70000.00000000001,0.955
QOL_Enhanced,9,79,333171.80669573764,250855.21173197456,0.0,737641.8061593184,66920.0,70000.00000000001,0.879
QOL_Enhanced,10,80,270885.3680961759,177784.9199662465,0.0,673632.4426987082,61600.0,70000.00000000001,0.764
QOL_Enhanced,11,81,225197.7118172935,126526.30658642683,0.0,606761.3548199019,42020.0,55000.0,0.686
QOL_Enhanced,12,82,186472.05933426216,64580.60658757505,0.0,546261.8016717705,37840.0,55000.0,0.596
QOL_Enhanced,13,83,153884.1761912663,8572.77588556316,0.0,479887.47441302176,32835.0,54999.99999999999,0.507
QOL_Enhanced,14,84,125870.25020345509,0.0,0.0,412696.3205628471,27940.0,54999.99999999999,0.414
QOL_Enhanced,15,85,104432.45712412646,0.0,0.0,344480.0794321622,22770.0,0.0,0.343
QOL_Enhanced,16,86,85795.20760659855,0.0,0.0,288284.0878362915,18920.0,0.0,0.286
QOL_Enhanced,17,87,69620.33008286789,0.0,0.0,223180.89760813644,15730.0,0.0,0.234
QOL_Enhanced,18,88,58763.178107461295,0.0,0.0,172245.19233884997,12980.0,0.0,0.184
QOL_Enhanced,19,89,50010.278492345,0.0,0.0,112094.63412209056,10120.0,0.0,0.156
QOL_Enhanced,20,90,41696.84231241923,0.0,0.0,62079.95565500978,8690.0,0.0,0.128
QOL_Enhanced,21,91,36241.11517542579,0.0,0.0,14371.879707442396,5120.0,0.0,0.109
QOL_Enhanced,22,92,32119.783621888637,0.0,0.0,0.0,4360.0,0.0,0.092
QOL_Enhanced,23,93,29267.025828186474,0.0,0.0,0.0,3680.0,0.0,0.081
QOL_Enhanced,24,94,25840.30500953137,0.0,0.0,0.0,3240.0,0.0,0.067
QOL_Enhanced,25,95,23053.462105411745,0.0,0.0,0.0,2680.0,0.0,0.058
QOL_Enhanced,26,96,21060.03527254685,0.0,0.0,0.0,2320.0,0.0,0.051
QOL_Enhanced,27,97,18038.60559708015,0.0,0.0,0.0,2040.0,0.0,0.045
QOL_Enhanced,28,98,16657.71340806928,0.0,0.0,0.0,1800.0,0.0,0.036
QOL_Enhanced,29,99,14629.825165204296,0.0,0.0,0.0,1480.0,0.0,0.031
